sample,isi,spike_num,amp,NAME,DESC,SIZE,COLOR,PIC
6.82E+05,0.17857,1,-371.6895,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0149.png
6.83E+05,0.0074333,2,-352.716,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0150.png
6.83E+05,0.0043,3,-142.6503,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0151.png
6.83E+05,0.0059333,4,-15.382965,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike0152.png
6.84E+05,0.028333,1,-52.0455,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0153.png
6.84E+05,0.0134,2,-44.655,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0154.png
6.85E+05,0.017,3,-122.4483,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0155.png
7.03E+05,0.6046,-1,-376.6035,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0156.png
7.07E+05,0.1494,-1,-376.428,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0157.png
7.09E+05,0.042167,-1,-308.5875,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0158.png
7.11E+05,0.070733,-1,-332.202,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0159.png
7.12E+05,0.043167,-1,-258.492,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0160.png
7.15E+05,0.082833,-1,-276.042,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0161.png
7.18E+05,0.1249,-1,-268.9635,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0162.png
7.19E+05,0.034933,-1,-268.944,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0163.png
7.21E+05,0.051233,-1,-378.1635,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0164.png
7.25E+05,0.14727,-1,-345.267,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0165.png
7.26E+05,0.0278,1,-311.3955,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0166.png
7.26E+05,0.0112,2,-219.921,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0167.png
7.27E+05,0.033233,-1,-296.6145,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0168.png
7.34E+05,0.2063,-1,-337.2135,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0169.png
7.50E+05,0.54223,1,-377.2275,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0170.png
7.50E+05,0.0077,2,-334.152,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0171.png
7.50E+05,0.0043,3,-161.32545,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0172.png
7.51E+05,0.010533,4,-226.1805,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike0173.png
7.68E+05,0.58207,-1,-372.099,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0174.png
7.72E+05,0.1227,-1,-372.45,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0175.png
7.76E+05,0.13743,-1,-380.7375,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0176.png
7.77E+05,0.033133,-1,-328.029,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0177.png
7.84E+05,0.24507,1,-369.993,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0178.png
7.84E+05,0.0063667,2,-329.8035,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0179.png
7.85E+05,0.0098,3,-176.8143,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0180.png
7.85E+05,0.0063,4,-70.53735,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike0181.png
7.85E+05,0.0108,5,-43.67025,NaN,NaN,200,0.85,http://web.media.mit.edu/~bdallen/spike0182.png
7.91E+05,0.1969,1,-368.2965,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0183.png
7.91E+05,0.0067333,2,-325.767,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0184.png
7.97E+05,0.17907,-1,-350.064,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike0185.png
8.25E+05,0.96093,1,-357.396,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike0186.png
8.26E+05,0.0098,2,-336.0045,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike0187.png
8.26E+05,0.0041333,3,-244.3935,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike0188.png
8.26E+05,0.0055333,4,-42.7245,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike0189.png
8.26E+05,0.010433,5,-45.80355,NaN,NaN,200,0.85,http://web.media.mit.edu/~bdallen/spike0190.png
